0,000432;1238,409912
600,20336;1236,595337
1200,3868;1237,515503
1800,6148;1235,862183
2400,8284;1235,84668
3001,044;1235,682983
3601,2608;1235,298462
4201,4769;1234,373657
4801,6943;483,3821716
5401,9119;561,2320557
6002,1298;476,0300293
6602,3475;407,4354248
7202,5514;585,2891235
7802,7698;564,7280884
8402,9884;533,4124146
9003,2061;522,1085205
9603,4218;505,5177612
10203,638;494,752655
10803,854;486,155365
11404,069;617,2303467
12004,285;601,7976685
12604,503;585,0258179
13204,72;576,5767822
13804,938;567,034729
14405,155;556,5941772
15005,373;621,6902466
15605,591;607,6259766
16205,791;605,402832
16806,006;598,0169067
17406,222;588,8829956
18006,439;578,9107666
18606,673;620,8522949
18606,673;592,8522949
